,מספר זיהוי,שם מעיין,שם מעיין באנגלית,תחילת תצפית,X נ.צ נביעה,Y נ.צ נביעה,רום הנביעה,מקום מדידה,שם אקויפר,קוד אקויפר,שם תא דיווח,קוד תא דיווח
,48330,אירטס,IRTAS,1962,217600,621700,725,לא נמדד,קנומן - טורון,400,חברון מזרח,665
,48350,עינות קדם,QEDEM Springs,2005,237950,601921,0,לא נמדד,קנומן תחתון,500,הרודיון,666
,48355,עינות קדם סיכום,Qedem Spr SUM,2005,237950,601921,0,נמדד באופן סדיר,קנומן תחתון,500,הרודיון,666
,48382,שולמית,SHULAMMIT,1977,237050,597700,-200,נמדד באופן סדיר,קנומן - טורון,400,חברון מזרח,665
,48385,גדי,GEDI,1951,236878,597203,-205,נמדד באופן סדיר,קנומן - טורון,400,חברון מזרח,665
,48400,דירווה,DIRWAH,1959,209750,610450,935,לא נמדד,קנומן - טורון,400,חברון מזרח,665
,48402,שעיר,SE'IR,1963,213900,610180,860,לא נמדד,קנומן - טורון,400,חברון מזרח,665
,48403,א-דילבה,A-Dilba,2015,213879,613078,815,נמדד באופן סדיר,קנומן - טורון,400,חברון מזרח,665
,48405,בץ,BUZ,1959,213050,613650,860,נמדד באופן סדיר,קנומן - טורון,400,חברון מזרח,665
,48420,ערוגות,ARUGOT,1951,235091,596070,-350,נמדד באופן סדיר,קנומן - טורון,400,חברון מזרח,665
,48510,משמר (ואדי משמר),Mishmar-Wadi Mishmar,2020,231310,588380,10,לא נמדד,קנומן - טורון,400,חברון מזרח,665
,48520,צאלים,Ze'elim,2020,232624,584843,-222,מעיין סקר,קנומן - טורון,400,חברון מזרח,665
,48605,בריכת שלו,Brichat Shalev,2012,233846,570095,-350,מעיין סקר,קנומן - טורון,400,ערד-בוקק,667
,48610,בוקק,BOQEQ,1995,233405,567449,-366,נמדד באופן סדיר,קנומן - טורון,400,הר נגב-צפון,730
,48615,אשד,Eshed,2020,228780,560940,-100,לא נמדד,קנומן בלתי מחולק,450,הר נגב-צפון,730
,48617,חימר,Heimar,2020,227270,560430,-62,לא נמדד,קנומן בלתי מחולק,450,הר נגב-צפון,730
,48648,סלוודורה,Salvadora,0,236700,603073,-150,לא נמדד,קנומן - טורון,400,חברון מזרח,665
,55177,צין ועקרבים,ZIN AND AQRABBIM,1982,216005,533423,-25,נמדד באופן סדיר,סנון,350,נ. צין,754
,55605,עבדת,AVEDAT,0,177250,526186,438,נמדד באופן סדיר,קרטיקון תחתון,600,רמון-יורקעם,711
,55610,מור,MOR,0,177956,526960,371,מעיין סקר,קרטיקון תחתון,600,רמון-יורקעם,711
,55620,זיק,ZIQ,0,185600,522950,360,מעיין סקר,קרטיקון תחתון,600,רמון-יורקעם,711
,55625,עקב עליון,,2010,181955,522615,490,מעיין סקר,איאוקן,300,נ. פארן,753
,55630,עקב תחתון,AQEV LOWER,0,182100,524900,405,נמדד באופן סדיר,איאוקן,300,רמון-יורקעם,711
,56605,חופירה,HUFIRA,1947,224040,508850,-107,נמדד באופן סדיר,פליו-פליסטוקן מילוי,100,חצבה,752
,56610,סהרונים(מכתש רמון),,2010,193660,501450,395,מעיין סקר,ניאוגן - מילוי,200,רמון-יורקעם,711
,57250,עוברה,Evra,2022,188177,473535,330,לא נמדד,פליו-פליסטוקן מילוי,100,נ. פארן,753
,59605,רחל,RAHEL,0,216400,504600,38,לא נמדד,קרטיקון תחתון,600,יהב -עופרים,712
,59630,משק,MASHAQ,0,217750,522750,-60,מעיין סקר,קרטיקון תחתון,600,יהב -עופרים,712
,59640,תמיד,TAMID,0,218900,524700,-54,מעיין סקר,קרטיקון תחתון,600,יהב -עופרים,712
,59650,אמציהו,AMAZIYAHU,0,226000,532700,-197,מעיין סקר,ניאוגן - מילוי,200,חצבה,752
,59654,עינות סדום,SEDOM STREEMS,0,234678,539913,-350,לא נמדד,ניאוגן - מילוי,200,נאות הכיכר,751
,59656,פלוטית,RLOTIT,2016,234680,540590,-360,לא נמדד,ניאוגן - מילוי,200,נאות הכיכר,751
,59660,הככר,HAKIKAR,0,234300,541500,-353,מעיין סקר,פליו-פליסטוקן מילוי,100,נאות הכיכר,751
,59670,ערוס (תמר),ARUS (TAMAR),0,234300,544000,-372,מעיין סקר,פליו-פליסטוקן מילוי,100,נאות הכיכר,751
,60220,צאלה(ארגמן),TSE'ELA,0,200327,419181,0,מעיין סקר,קרטיקון תחתון,600,שזפון-יעלון,720
,60228,שחרות דרומי,SHAHAROT SOUTH,0,200515,424148,0,מעיין סקר,קרטיקון תחתון,600,שזפון-יעלון,720
,60229,שחרות צפוני,SHAHAROT NORTH,0,200575,424240,0,מעיין סקר,קרטיקון תחתון,600,שזפון-יעלון,720
,60235,קטורה,Keturah,0,205939,438600,0,מעיין סקר,קרטיקון תחתון,600,שזפון-יעלון,720
